epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.5155,0.79101,2.58264,1.22309,0.44162,0.4532,0.46062,0.27849,1.16995,1.90232,1.71079,0.000275333,0.000275333,0.000275333
2,67.5308,0.92408,1.70162,1.30437,0.47287,0.41282,0.42411,0.25995,1.39338,2.28262,2.05741,0.000542051,0.000542051,0.000542051
3,99.9004,1.02895,1.79891,1.38691,0.23661,0.38814,0.24855,0.1308,1.64047,2.98749,2.22055,0.000797772,0.000797772,0.000797772
4,132.073,1.02147,1.69463,1.39277,0.49123,0.35574,0.40954,0.24393,1.33954,2.23614,1.88313,0.00078352,0.00078352,0.00078352
5,164.379,1.00915,1.67323,1.37095,0.49562,0.34572,0.4021,0.25266,1.3921,2.24631,2.01882,0.000767026,0.000767026,0.000767026
6,196.57,0.97726,1.60739,1.35376,0.50162,0.44293,0.45977,0.2874,1.24821,1.82962,1.791,0.000750533,0.000750533,0.000750533
7,228.42,0.93971,1.52643,1.33423,0.55605,0.46423,0.52483,0.34049,1.22182,1.73439,1.75892,0.00073404,0.00073404,0.00073404
8,260.103,0.9115,1.4649,1.30021,0.47648,0.41518,0.45439,0.30491,1.18565,2.42503,1.72352,0.000717546,0.000717546,0.000717546
9,291.721,0.88332,1.36173,1.28217,0.58856,0.52472,0.57731,0.39727,1.12712,1.26068,1.66221,0.000701053,0.000701053,0.000701053
10,323.281,0.85015,1.31782,1.26692,0.63518,0.49359,0.60689,0.40914,1.08683,1.28699,1.64219,0.000684559,0.000684559,0.000684559
11,354.907,0.86104,1.3271,1.27179,0.63218,0.46153,0.53981,0.3752,1.10053,1.37843,1.61465,0.000668066,0.000668066,0.000668066
12,386.479,0.80854,1.24138,1.23258,0.63335,0.50628,0.5897,0.44151,0.93893,1.23466,1.50905,0.000651573,0.000651573,0.000651573
13,418.511,0.80448,1.22431,1.23798,0.5438,0.51343,0.5639,0.40158,1.03025,1.29788,1.57553,0.000635079,0.000635079,0.000635079
14,450.074,0.79431,1.24808,1.22531,0.59613,0.54274,0.61561,0.44729,1.01735,1.15673,1.60459,0.000618586,0.000618586,0.000618586
15,481.698,0.79465,1.17879,1.22976,0.62279,0.50664,0.5895,0.43579,0.99231,1.19532,1.57478,0.000602092,0.000602092,0.000602092
16,513.099,0.76607,1.14796,1.19717,0.66672,0.49584,0.62722,0.46908,0.92288,1.21264,1.4514,0.000585599,0.000585599,0.000585599
17,544.793,0.76062,1.08707,1.19403,0.68704,0.57322,0.6535,0.48309,0.89567,0.95364,1.44493,0.000569106,0.000569106,0.000569106
18,576.454,0.74096,1.07648,1.19326,0.60641,0.56553,0.64212,0.4797,0.91715,1.07064,1.44799,0.000552612,0.000552612,0.000552612
19,607.924,0.74521,1.06101,1.19055,0.65629,0.58463,0.65037,0.49076,0.87844,0.94496,1.4223,0.000536119,0.000536119,0.000536119
20,639.41,0.7136,0.99293,1.16916,0.67144,0.57074,0.66057,0.49838,0.85501,0.93551,1.39266,0.000519625,0.000519625,0.000519625
21,671.09,0.72226,1.00192,1.16096,0.65084,0.56478,0.65103,0.4796,0.89384,1.10201,1.41342,0.000503132,0.000503132,0.000503132
22,702.603,0.69872,0.99634,1.15424,0.66053,0.61486,0.68024,0.52148,0.82165,0.88835,1.37022,0.000486639,0.000486639,0.000486639
23,734.175,0.69312,1.00173,1.15198,0.72998,0.56823,0.67179,0.51514,0.84199,0.86626,1.36858,0.000470145,0.000470145,0.000470145
24,765.606,0.68599,0.95871,1.15335,0.71697,0.57223,0.66016,0.50969,0.8461,0.93339,1.39138,0.000453652,0.000453652,0.000453652
25,797.243,0.67472,0.90537,1.14535,0.6767,0.59429,0.67925,0.52208,0.79985,0.84705,1.35707,0.000437158,0.000437158,0.000437158
26,828.897,0.66545,0.87342,1.13716,0.65133,0.60022,0.66485,0.50953,0.81609,0.93721,1.35358,0.000420665,0.000420665,0.000420665
27,860.442,0.64853,0.87072,1.12218,0.88444,0.54038,0.65826,0.51581,0.79227,0.95513,1.34169,0.000404172,0.000404172,0.000404172
28,891.913,0.64443,0.85363,1.11938,0.73444,0.58364,0.69503,0.54468,0.78945,0.79247,1.33161,0.000387678,0.000387678,0.000387678
29,923.551,0.64937,0.82341,1.11289,0.69214,0.59353,0.68118,0.5441,0.76426,0.84439,1.31075,0.000371185,0.000371185,0.000371185
30,955.131,0.63471,0.85551,1.11116,0.71043,0.59961,0.67551,0.5318,0.7793,0.81283,1.32953,0.000354691,0.000354691,0.000354691
31,986.591,0.63185,0.81769,1.10904,0.71755,0.58031,0.68999,0.53303,0.81585,0.82427,1.34521,0.000338198,0.000338198,0.000338198
